name,salary_from,salary_to,salary_currency,area_name,published_at
Ученик мастера для сервисного центра,60000,200000,KZT,Шымкент,2022-12-17T07:22:45+0300
Руководитель проекта внедрения ERP системы / Project Manager (FMCG),,,,Москва,2022-12-17T18:54:23+0300
Механик,,,,Уфа,2022-12-17T06:32:02+0300
Middle Программист-разработчик AI / Data scientist / NLP Developer (Обработка естественного языка),,,,Санкт-Петербург,2022-12-17T16:10:59+0300
Backend разработчик Python (Middle/Senior),1500,,USD,Ташкент,2022-12-17T13:47:28+0300
Product manager (Growth),,,,Санкт-Петербург,2022-12-17T18:21:12+0300
Технический специалист,45000,50000,RUR,Ковров,2022-12-17T14:55:04+0300
Системный администратор / Инженер АСУ,38000,45000,RUR,Хабаровск,2022-12-17T06:55:21+0300
Программист 1C,150000,300000,RUR,Москва,2022-12-17T09:07:00+0300
Специалист чат-поддержки,33000,38000,RUR,Оренбург,2022-12-17T07:17:59+0300
Специалист второй линии поддержки,,,,Дзержинск (Нижегородская область),2022-12-17T11:58:49+0300
Специалист группы поддержки,,,,Иваново (Ивановская область),2022-12-17T12:05:24+0300
Механик,,,,Красноярск,2022-12-17T06:32:02+0300
Middle Программист-разработчик AI / Data scientist / NLP Developer (Обработка естественного языка),,,,Москва,2022-12-17T16:10:59+0300
Администратор информационной системы,24000,50000,RUR,Ростов-на-Дону,2022-12-17T09:36:15+0300
Инженер-схемотехник,75000,,RUR,Иркутск,2022-12-17T11:23:12+0300
Специалист группы поддержки,,,,Брянск,2022-12-17T12:05:43+0300
Бизнес-аналитик,,,,Москва,2022-12-17T19:56:56+0300
Специалист группы поддержки,,,,Новороссийск,2022-12-17T12:09:20+0300
Инженер по ремонту электронного оборудования,60000,,RUR,Санкт-Петербург,2022-12-17T14:31:31+0300
Менеджер продукта,,,,Санкт-Петербург,2022-12-17T10:43:12+0300
Middle UX/UI Designer (Games),,,,Алматы,2022-12-17T09:41:18+0300
Токарь,106000,126000,RUR,Москва,2022-12-17T12:05:23+0300
Начинающий SEO-специалист,25000,,RUR,Ростов-на-Дону,2022-12-17T13:44:47+0300
Специалист группы поддержки,,,,Нижний Новгород,2022-12-17T12:06:02+0300
Начальник отдела гарантийного ремонта и сервисного обслуживания,50000,60000,RUR,Камешково,2022-12-17T15:09:48+0300
Специалист группы поддержки,,,,Орел,2022-12-17T12:09:45+0300
Специалист технической поддержки,,,,Казань,2022-12-17T14:33:40+0300
Support инженер,,,,Москва,2022-12-17T13:27:58+0300
QA Engineer (Middle or Senior) / Специалист по тестированию (Digital Health),,,,Санкт-Петербург,2022-12-17T17:49:18+0300
Инженер-схемотехник,75000,,RUR,Воронеж,2022-12-17T11:24:12+0300
Ведущий специалист по информационным системам,,50000,RUR,Калининград,2022-12-17T14:10:04+0300
Фулстек разработчик,200000,,RUR,Москва,2022-12-17T19:57:20+0300
Инженер-механик,70000,,RUR,Москва,2022-12-17T12:09:54+0300
Специалист сопровождения (Специалист технической поддержки),,,,Краснодар,2022-12-17T16:44:48+0300
Специалист группы поддержки,,,,Самара,2022-12-17T12:07:01+0300
Менеджер по оптимизации,,60000,RUR,Санкт-Петербург,2022-12-17T02:23:48+0300
Бизнес-аналитик,,,,Санкт-Петербург,2022-12-17T16:36:34+0300
Системный администратор,45000,50000,RUR,Геленджик,2022-12-17T10:08:15+0300
Старший механик ледокола,,,,Мурманск,2022-12-17T11:16:13+0300
Продакт-менеджер,,,,Москва,2022-12-17T16:28:49+0300
Ведущий специалист по защите информации,37000,,RUR,Калуга,2022-12-17T11:12:35+0300
Data Engineer в HR Tech,,,,Москва,2022-12-17T23:59:11+0300
QA Engineer (Backend),,,,Ярославль,2022-12-17T11:10:18+0300
Инженер ИТ,30000,,RUR,Воронеж,2022-12-17T14:31:17+0300
Специалист группы поддержки,,,,Пенза,2022-12-17T12:09:11+0300
Инженер 2 линии поддержки,,,,Москва,2022-12-17T16:47:50+0300
Менеджер по работе с физическими лицами,35000,40000,RUR,Саранск,2022-12-17T17:50:16+0300
Токарь,106000,126000,RUR,Нижний Новгород,2022-12-17T12:05:23+0300
Инженер-электроник,213000,,RUR,Иркутск,2022-12-17T12:22:59+0300
